genus_taxon	cleaned_SRR35556007_1	cleaned_SRR35556007_2	cleaned_SRR35556008_1	cleaned_SRR35556008_2	cleaned_SRR35556009_1	cleaned_SRR35556009_2	cleaned_SRR35939735_1	cleaned_SRR35939735_2	cleaned_SRR35939736_1	cleaned_SRR35939736_2	cleaned_SRR35939737_1	cleaned_SRR35939737_2	cleaned_SRR35939738_1	cleaned_SRR35939738_2	cleaned_SRR35939739_1	cleaned_SRR35939739_2	cleaned_SRR35939740_1	cleaned_SRR35939740_2	zclean_wastewater
Acetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidihalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidithiobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax	90	73	3	4	10	7	0	0	0	0	0	0	0	0	0	0	0	0	168
Acinetobacter	599	573	3017	2946	432	410	24	23	0	0	0	0	0	0	6	6	0	0	1211
Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acuticoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas	3623	3456	2400	2308	4074	3951	1	1	0	0	0	0	0	0	0	0	21	23	7622
Afonbuvirus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Agathobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrobacterium	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agtrevirus	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aliarcobacter	14	13	32	30	27	24	0	0	0	0	0	0	0	0	0	0	0	0	30
Alicycliphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aliiroseovarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkanindiges	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allorhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloyangia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alteromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminobacter	0	3	3	3	6	6	0	0	0	0	0	0	0	0	0	0	0	0	3
Amniculibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphritea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ampullimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antarcticirhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquabacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquipseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aromatoleum	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Arthrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asticcacaulis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astrithrvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aureimonas	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azoarcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azohydromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospirillum	25	19	43	42	51	58	0	0	0	0	0	0	0	0	0	0	0	0	43
Azotobacter	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteroides	26	20	7	11	3	3	0	0	0	0	0	0	0	0	0	0	0	0	47
Bcepmuvirus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bernardetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Betacoronavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bielevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bilophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastomonas	0	0	68	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bosavirus	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bosea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium	1	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Brevibacillus	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Brevirhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevundimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brigitvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brussowvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bugaksanvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia	1	2	4	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Burzaovirus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Buttiauxella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caballeronia	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Caenibius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Accumulibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Fukatsuia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Methylocalor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carjivirus	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacter	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cellvibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cereibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cetobacterium	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Chelativorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chelatococcus	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Chimaeribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium	3	5	122	114	77	73	0	1	0	0	0	0	0	0	0	0	0	0	9
Ciceribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cimandefvirus	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Cinvestavvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter	5	6	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11
Clostridioides	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium	0	0	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas	6	5	52	57	4	6	0	0	0	0	0	0	0	0	0	0	0	0	11
Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Croceicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronobacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cronusvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus	647	579	405	356	248	233	0	1	0	0	0	0	0	0	0	0	0	0	1257
Curvibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Dechloromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus	6	6	9	8	1	4	0	0	0	0	0	0	0	0	0	0	0	0	13
Delftia	3	3	32	33	1	3	0	0	0	0	0	0	0	0	0	0	0	0	6
Denitratisoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Derbicusvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaphorobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Duffyella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dunedinvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ectopseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edwardsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eganvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eleftheria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elizabethkingia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Embleya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Empedobacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Endozoicomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ensifer	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter	3	1	9	11	6	7	0	0	0	0	0	0	0	0	0	0	0	0	4
Enterococcus	3	2	8	11	8	6	0	0	0	0	0	0	0	0	0	0	0	0	5
Eponavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erwinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia	4	0	37	31	7	5	0	0	0	0	0	0	0	0	0	0	0	0	7
Ewingella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exiguobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Falsirhodobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faucicola	2	1	5	2	13	10	0	0	0	0	0	0	0	0	0	0	0	0	3
Ferozepurvirus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Finegoldia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flammeovirga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacterium	8	11	30	31	10	13	1	1	0	0	0	0	1	0	0	0	0	1	19
Flavonifractor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fremauxvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frigidibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fulvitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fuscovulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium	1	1	6	5	9	8	0	0	0	0	0	0	0	0	0	0	0	0	2
Gamaleyavirus	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatirosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glaesserella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gustavvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haematobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haematospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haladaptatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haloarcula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halocatena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halogeometricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haloglomus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomarina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomicrobium	57	52	1	1	15	12	0	0	0	0	0	0	0	0	0	0	0	0	114
Halomicrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomontanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haloplanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halorarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halorhabdus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Halorubrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halosimplex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halovivax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hartmannibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hpunavirus	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huelvavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenobacter	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ideonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilyobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Immutovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indioceanicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ittyvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jannaschia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Johnsonvirus	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Junduvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kahnovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kilunavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kingevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella	32	34	44	38	29	31	0	0	0	0	0	0	0	0	0	0	0	0	64
Kluyvera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Komagataeibacter	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Kosakonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kozakia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krampusvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kunmingvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactiplantibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus	4	6	8	10	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10
Lagaffevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lastavirus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Latilactobacillus	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Leclercia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Legionella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leisingera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptolyngbya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Levilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ligilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limimaricola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Listeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lughvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysinibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Machinavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mahlunavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mameliella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinovum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marivivens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Martelella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mediterraneibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesomycoplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
